Processes his02,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2025-01-20 09:41:03,4,1,27556.4,-1.0,-1.0,-1.0,17.1,-1.0,-1.0,-1.0
2025-01-20 09:41:33,2,1,26699.3,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0
2025-01-20 09:42:03,4,2,25132.9,-1.0,-1.0,-1.0,34.1,-1.0,-1.0,-1.0
2025-01-20 09:42:33,5,2,24131.7,-1.0,-1.0,-1.0,13.7,-1.0,-1.0,-1.0
2025-01-20 09:43:03,6,2,24824.5,-1.0,-1.0,-1.0,10.9,-1.0,-1.0,-1.0
2025-01-20 09:43:33,4,3,25383.8,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0
2025-01-20 09:44:03,2,2,25164.7,-1.0,-1.0,-1.0,15.1,-1.0,-1.0,-1.0
2025-01-20 09:44:33,4,1,26575.4,-1.0,-1.0,-1.0,15.4,-1.0,-1.0,-1.0
2025-01-20 09:45:03,5,1,25359.1,-1.0,-1.0,-1.0,14.1,-1.0,-1.0,-1.0
2025-01-20 09:45:33,2,2,26472.8,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:46:03,4,0,30275.9,-1.0,-1.0,-1.0,21.2,-1.0,-1.0,-1.0
2025-01-20 09:46:33,3,1,26682.0,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2025-01-20 09:47:03,5,1,27220.7,-1.0,-1.0,-1.0,32.1,-1.0,-1.0,-1.0
2025-01-20 09:47:33,5,1,26802.4,-1.0,-1.0,-1.0,13.7,-1.0,-1.0,-1.0
2025-01-20 09:48:03,6,2,25572.5,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
2025-01-20 09:48:33,3,1,24695.6,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2025-01-20 09:49:03,3,1,24968.7,-1.0,-1.0,-1.0,12.6,-1.0,-1.0,-1.0
2025-01-20 09:49:33,3,1,24313.1,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:50:03,7,2,27009.7,-1.0,-1.0,-1.0,17.7,-1.0,-1.0,-1.0
2025-01-20 09:50:33,3,2,25695.8,-1.0,-1.0,-1.0,17.7,-1.0,-1.0,-1.0
2025-01-20 09:51:03,4,2,25696.1,-1.0,-1.0,-1.0,17.8,-1.0,-1.0,-1.0
2025-01-20 09:51:33,3,2,25597.3,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 09:52:03,6,2,27430.5,-1.0,-1.0,-1.0,34.3,-1.0,-1.0,-1.0
2025-01-20 09:52:33,2,3,29994.2,-1.0,-1.0,-1.0,12.5,-1.0,-1.0,-1.0
2025-01-20 09:53:03,2,1,27581.5,-1.0,-1.0,-1.0,10.5,-1.0,-1.0,-1.0
2025-01-20 09:53:33,3,1,27740.8,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 09:54:03,3,2,26862.6,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2025-01-20 09:54:33,4,1,26067.5,-1.0,-1.0,-1.0,15.7,-1.0,-1.0,-1.0
2025-01-20 09:55:03,3,2,26239.8,-1.0,-1.0,-1.0,13.3,-1.0,-1.0,-1.0
2025-01-20 09:55:33,8,2,26025.9,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 09:56:03,8,0,26142.1,-1.0,-1.0,-1.0,20.7,-1.0,-1.0,-1.0
2025-01-20 09:56:33,2,2,25383.7,-1.0,-1.0,-1.0,15.2,-1.0,-1.0,-1.0
2025-01-20 09:57:03,4,0,25766.0,-1.0,-1.0,-1.0,29.5,-1.0,-1.0,-1.0
2025-01-20 09:57:33,3,2,25890.3,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0
2025-01-20 09:58:03,7,1,25599.7,-1.0,-1.0,-1.0,14.6,-1.0,-1.0,-1.0
2025-01-20 09:58:33,2,1,25774.3,-1.0,-1.0,-1.0,14.7,-1.0,-1.0,-1.0
2025-01-20 09:59:03,4,2,25557.9,-1.0,-1.0,-1.0,13.5,-1.0,-1.0,-1.0
2025-01-20 09:59:33,7,1,25292.2,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0
2025-01-20 10:00:03,7,2,25883.5,-1.0,-1.0,-1.0,17.5,-1.0,-1.0,-1.0
2025-01-20 10:00:33,3,3,28879.2,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0
2025-01-20 10:01:03,3,2,30054.0,-1.0,-1.0,-1.0,21.7,-1.0,-1.0,-1.0
2025-01-20 10:01:33,5,1,26805.4,-1.0,-1.0,-1.0,13.1,-1.0,-1.0,-1.0
2025-01-20 10:02:03,6,1,25811.2,-1.0,-1.0,-1.0,34.2,-1.0,-1.0,-1.0
2025-01-20 10:02:33,7,0,25039.5,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 10:03:03,3,2,25401.7,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0
